order_id,order_date,customer_id,quantity,price_per_unit,sales
1,2023-11-24,CUST001,3,50,150.0
2,2023-02-27,CUST002,2,500,1000.0
3,2023-01-13,CUST003,1,30,30.0
4,2023-05-21,CUST004,1,500,500.0
5,2023-05-06,CUST005,2,50,100.0
6,2023-04-25,CUST006,1,30,30.0
7,2023-03-13,CUST007,2,25,50.0
8,2023-02-22,CUST008,4,25,100.0
9,2023-12-13,CUST009,2,300,600.0
10,2023-10-07,CUST010,4,50,200.0
11,2023-02-14,CUST011,2,50,100.0
12,2023-10-30,CUST012,3,25,75.0
13,2023-08-05,CUST013,3,500,1500.0
14,2023-01-17,CUST014,4,30,120.0
15,2023-01-16,CUST015,4,500,2000.0
16,2023-02-17,CUST016,3,500,1500.0
17,2023-04-22,CUST017,4,25,100.0
18,2023-04-30,CUST018,2,25,50.0
19,2023-09-16,CUST019,2,25,50.0
20,2023-11-05,CUST020,3,300,900.0
21,2023-01-14,CUST021,1,500,500.0
22,2023-10-15,CUST022,2,50,100.0
23,2023-04-12,CUST023,4,30,120.0
24,2023-11-29,CUST024,1,300,300.0
25,2023-12-26,CUST025,1,50,50.0
26,2023-10-07,CUST026,2,500,1000.0
27,2023-08-03,CUST027,2,25,50.0
28,2023-04-23,CUST028,1,500,500.0
29,2023-08-18,CUST029,1,30,30.0
30,2023-10-29,CUST030,3,300,900.0
31,2023-05-23,CUST031,4,300,1200.0
32,2023-01-04,CUST032,3,30,90.0
33,2023-03-23,CUST033,2,50,100.0
34,2023-12-24,CUST034,3,50,150.0
35,2023-08-05,CUST035,3,300,900.0
36,2023-06-24,CUST036,3,300,900.0
37,2023-05-23,CUST037,3,25,75.0
38,2023-03-21,CUST038,4,50,200.0
39,2023-04-21,CUST039,4,30,120.0
40,2023-06-22,CUST040,1,50,50.0
41,2023-02-22,CUST041,2,25,50.0
42,2023-02-17,CUST042,3,300,900.0
43,2023-07-14,CUST043,1,300,300.0
44,2023-02-19,CUST044,1,25,25.0
45,2023-07-03,CUST045,1,30,30.0
46,2023-06-26,CUST046,4,300,1200.0
47,2023-11-06,CUST047,3,500,1500.0
48,2023-05-16,CUST048,3,300,900.0
49,2023-01-23,CUST049,2,500,1000.0
50,2023-08-24,CUST050,3,25,75.0
51,2023-10-02,CUST051,3,25,75.0
52,2023-03-05,CUST052,1,300,300.0
53,2023-07-13,CUST053,2,50,100.0
54,2023-02-10,CUST054,3,500,1500.0
55,2023-10-10,CUST055,4,30,120.0
56,2023-05-31,CUST056,3,300,900.0
57,2023-11-18,CUST057,1,30,30.0
58,2023-11-13,CUST058,4,300,1200.0
59,2023-07-05,CUST059,1,50,50.0
60,2023-10-23,CUST060,3,50,150.0
61,2023-04-09,CUST061,4,50,200.0
62,2023-12-27,CUST062,2,50,100.0
63,2023-02-05,CUST063,2,25,50.0
64,2023-01-24,CUST064,4,25,100.0
65,2023-12-05,CUST065,4,500,2000.0
66,2023-04-27,CUST066,1,30,30.0
67,2023-05-29,CUST067,4,300,1200.0
68,2023-02-10,CUST068,1,300,300.0
69,2023-04-30,CUST069,3,25,75.0
70,2023-02-21,CUST070,1,300,300.0
71,2023-07-14,CUST071,4,25,100.0
72,2023-05-23,CUST072,4,500,2000.0
73,2023-08-21,CUST073,3,30,90.0
74,2023-11-22,CUST074,4,500,2000.0
75,2023-07-06,CUST075,4,50,200.0
76,2023-03-25,CUST076,2,50,100.0
77,2023-07-09,CUST077,2,50,100.0
78,2023-07-01,CUST078,3,500,1500.0
79,2023-04-18,CUST079,1,300,300.0
80,2023-12-10,CUST080,2,30,60.0
81,2023-05-17,CUST081,1,50,50.0
82,2023-12-26,CUST082,4,50,200.0
83,2023-12-16,CUST083,2,50,100.0
84,2023-11-28,CUST084,3,30,90.0
85,2023-02-06,CUST085,3,50,150.0
86,2023-11-08,CUST086,3,30,90.0
87,2023-11-22,CUST087,2,50,100.0
88,2023-03-29,CUST088,1,500,500.0
89,2023-10-01,CUST089,4,500,2000.0
90,2023-05-06,CUST090,1,30,30.0
91,2023-03-25,CUST091,1,500,500.0
92,2023-08-25,CUST092,4,30,120.0
93,2023-07-14,CUST093,4,500,2000.0
94,2023-05-19,CUST094,2,500,1000.0
95,2023-11-24,CUST095,2,30,60.0
96,2023-12-19,CUST096,2,300,600.0
97,2023-10-13,CUST097,2,500,1000.0
98,2023-04-23,CUST098,2,50,100.0
99,2023-12-17,CUST099,4,300,1200.0
100,2023-06-16,CUST100,1,30,30.0
101,2023-01-29,CUST101,2,300,600.0
102,2023-04-28,CUST102,2,25,50.0
103,2023-01-17,CUST103,1,25,25.0
104,2023-06-11,CUST104,2,500,1000.0
105,2023-07-25,CUST105,1,500,500.0
106,2023-05-18,CUST106,1,50,50.0
107,2023-02-03,CUST107,4,300,1200.0
108,2023-04-19,CUST108,3,25,75.0
109,2023-10-18,CUST109,4,500,2000.0
110,2023-06-11,CUST110,3,300,900.0
111,2023-04-19,CUST111,3,500,1500.0
112,2023-12-02,CUST112,3,500,1500.0
113,2023-09-13,CUST113,2,25,50.0
114,2023-07-22,CUST114,4,25,100.0
115,2023-11-26,CUST115,3,500,1500.0
116,2023-08-23,CUST116,1,30,30.0
117,2023-03-15,CUST117,2,500,1000.0
118,2023-05-16,CUST118,4,500,2000.0
119,2023-03-13,CUST119,3,50,150.0
120,2023-05-07,CUST120,1,50,50.0
